strain	generation	fitness	num_date	date	year	month
sample_2000_1	2000	0.6928637997422432	2010.0	2010-01-01	2010	1
sample_2000_10	2000	0.7214703047082391	2010.0	2010-01-01	2010	1
sample_2000_100	2000	0.5712421505103661	2010.0	2010-01-01	2010	1
sample_2000_11	2000	0.7007465540607656	2010.0	2010-01-01	2010	1
sample_2000_14	2000	0.6717852130567998	2010.0	2010-01-01	2010	1
sample_2000_23	2000	0.6381771612751358	2010.0	2010-01-01	2010	1
sample_2000_4	2000	0.7085453423386462	2010.0	2010-01-01	2010	1
sample_2000_44	2000	0.6913854732998272	2010.0	2010-01-01	2010	1
sample_2000_49	2000	0.5444381509373161	2010.0	2010-01-01	2010	1
sample_2000_74	2000	0.5403240087387972	2010.0	2010-01-01	2010	1
sample_2000_8	2000	0.6757551928003183	2010.0	2010-01-01	2010	1
sample_2000_82	2000	0.6297990249067007	2010.0	2010-01-01	2010	1
sample_2000_90	2000	0.6670666774553052	2010.0	2010-01-01	2010	1
sample_2000_96	2000	0.6884395907467166	2010.0	2010-01-01	2010	1
sample_2004_24	2004	0.06778490128579727	2010.02	2010-01-07	2010	1
sample_2004_47	2004	0.5952155105754685	2010.02	2010-01-07	2010	1
sample_2004_50	2004	0.6975610286291327	2010.02	2010-01-07	2010	1
sample_2004_62	2004	0.6009950849584347	2010.02	2010-01-07	2010	1
sample_2004_65	2004	0.6232241437295318	2010.02	2010-01-07	2010	1
sample_2004_74	2004	0.6167232156537183	2010.02	2010-01-07	2010	1
sample_2004_8	2004	0.6682765810032757	2010.02	2010-01-07	2010	1
sample_2004_82	2004	0.6157854158532304	2010.02	2010-01-07	2010	1
sample_2008_11	2008	0.7194677841323827	2010.04	2010-01-14	2010	1
sample_2008_16	2008	0.6311494572113057	2010.04	2010-01-14	2010	1
sample_2008_28	2008	0.6260787697579678	2010.04	2010-01-14	2010	1
sample_2008_47	2008	0.6456310795663535	2010.04	2010-01-14	2010	1
sample_2008_48	2008	0.6280953755475699	2010.04	2010-01-14	2010	1
sample_2008_6	2008	0.6291127787262225	2010.04	2010-01-14	2010	1
sample_2008_70	2008	0.5808186973305299	2010.04	2010-01-14	2010	1
sample_2008_76	2008	0.6677261226236457	2010.04	2010-01-14	2010	1
sample_2008_80	2008	0.5492154558279922	2010.04	2010-01-14	2010	1
sample_2012_1	2012	0.615624719110091	2010.06	2010-01-21	2010	1
sample_2012_3	2012	0.6895107057222253	2010.06	2010-01-21	2010	1
sample_2012_33	2012	0.7178403708804468	2010.06	2010-01-21	2010	1
sample_2012_35	2012	0.6715044655180655	2010.06	2010-01-21	2010	1
sample_2012_45	2012	0.5625342239439589	2010.06	2010-01-21	2010	1
sample_2012_51	2012	0.6927282511601893	2010.06	2010-01-21	2010	1
sample_2012_76	2012	0.5540622471990819	2010.06	2010-01-21	2010	1
sample_2012_77	2012	0.3766503023758268	2010.06	2010-01-21	2010	1
sample_2012_90	2012	0.4645732429354346	2010.06	2010-01-21	2010	1
sample_2016_24	2016	0.7023846649194098	2010.08	2010-01-29	2010	1
sample_2016_38	2016	0.6365168664892777	2010.08	2010-01-29	2010	1
sample_2016_39	2016	0.7173427429123509	2010.08	2010-01-29	2010	1
sample_2016_4	2016	0.6937981586432654	2010.08	2010-01-29	2010	1
sample_2016_41	2016	0.7264858102677695	2010.08	2010-01-29	2010	1
sample_2016_43	2016	0.6704458598771201	2010.08	2010-01-29	2010	1
sample_2016_48	2016	0.7108411259098281	2010.08	2010-01-29	2010	1
sample_2016_56	2016	0.5938689548416803	2010.08	2010-01-29	2010	1
sample_2016_75	2016	0.6813310119121335	2010.08	2010-01-29	2010	1
sample_2020_19	2020	0.6947614453106479	2010.1	2010-02-05	2010	2
sample_2020_2	2020	0.7085822571470444	2010.1	2010-02-05	2010	2
sample_2020_22	2020	0.6623189941173695	2010.1	2010-02-05	2010	2
sample_2020_25	2020	0.7146230634169329	2010.1	2010-02-05	2010	2
sample_2020_45	2020	0.6999278282257148	2010.1	2010-02-05	2010	2
sample_2020_59	2020	0.6342502994958618	2010.1	2010-02-05	2010	2
sample_2020_72	2020	0.6538651333602165	2010.1	2010-02-05	2010	2
sample_2020_81	2020	0.7258119441580761	2010.1	2010-02-05	2010	2
sample_2020_91	2020	0.5642168793469248	2010.1	2010-02-05	2010	2
sample_2020_95	2020	0.7066115316739905	2010.1	2010-02-05	2010	2
sample_2024_13	2024	0.6590077193047325	2010.12	2010-02-12	2010	2
sample_2024_15	2024	0.6017294075884272	2010.12	2010-02-12	2010	2
sample_2024_22	2024	0.664046597978494	2010.12	2010-02-12	2010	2
sample_2024_24	2024	0.6749240569256222	2010.12	2010-02-12	2010	2
sample_2024_47	2024	0.6717165788735511	2010.12	2010-02-12	2010	2
sample_2024_7	2024	0.681802831516775	2010.12	2010-02-12	2010	2
sample_2024_71	2024	0.577363686665631	2010.12	2010-02-12	2010	2
sample_2024_8	2024	0.6882310669836326	2010.12	2010-02-12	2010	2
sample_2024_85	2024	0.7040466206684565	2010.12	2010-02-12	2010	2
sample_2024_86	2024	0.6469365641201218	2010.12	2010-02-12	2010	2
sample_2024_87	2024	0.5486572304379089	2010.12	2010-02-12	2010	2
sample_2024_89	2024	0.5283407335222698	2010.12	2010-02-12	2010	2
sample_2028_100	2028	0.7109521162689121	2010.14	2010-02-20	2010	2
sample_2028_20	2028	0.6550862231651158	2010.14	2010-02-20	2010	2
sample_2028_3	2028	0.6921741263824219	2010.14	2010-02-20	2010	2
sample_2028_30	2028	0.7109521162689121	2010.14	2010-02-20	2010	2
sample_2028_36	2028	0.6468029300777073	2010.14	2010-02-20	2010	2
sample_2028_46	2028	0.6970710037334971	2010.14	2010-02-20	2010	2
sample_2028_56	2028	0.5676980387801148	2010.14	2010-02-20	2010	2
sample_2028_58	2028	0.6355421648811809	2010.14	2010-02-20	2010	2
sample_2028_61	2028	0.7135815735901258	2010.14	2010-02-20	2010	2
sample_2028_68	2028	0.6493951213331598	2010.14	2010-02-20	2010	2
sample_2028_7	2028	0.6093269818946794	2010.14	2010-02-20	2010	2
sample_2028_79	2028	0.5063717114715816	2010.14	2010-02-20	2010	2
sample_2028_8	2028	0.7215501348146219	2010.14	2010-02-20	2010	2
sample_2028_92	2028	0.6921741263824219	2010.14	2010-02-20	2010	2
sample_2028_98	2028	0.6060301035295428	2010.14	2010-02-20	2010	2
sample_2032_1	2032	0.4523715171633299	2010.16	2010-02-27	2010	2
sample_2032_10	2032	0.7101918043439244	2010.16	2010-02-27	2010	2
sample_2032_35	2032	0.6927070675351809	2010.16	2010-02-27	2010	2
sample_2032_4	2032	0.6876619671507975	2010.16	2010-02-27	2010	2
sample_2032_44	2032	0.6877212766636376	2010.16	2010-02-27	2010	2
sample_2032_45	2032	0.6240456601940296	2010.16	2010-02-27	2010	2
sample_2032_50	2032	0.6669643411379047	2010.16	2010-02-27	2010	2
sample_2032_68	2032	0.6415629023235326	2010.16	2010-02-27	2010	2
sample_2032_76	2032	0.6110883548411664	2010.16	2010-02-27	2010	2
sample_2032_8	2032	0.7291174737543592	2010.16	2010-02-27	2010	2
sample_2032_82	2032	0.6923051122134509	2010.16	2010-02-27	2010	2
sample_2032_92	2032	0.37790338774244586	2010.16	2010-02-27	2010	2
sample_2036_14	2036	0.7028059055525415	2010.18	2010-03-06	2010	3
sample_2036_20	2036	0.6632435875142451	2010.18	2010-03-06	2010	3
sample_2036_30	2036	0.6403105123958318	2010.18	2010-03-06	2010	3
sample_2036_51	2036	0.6183012836403811	2010.18	2010-03-06	2010	3
sample_2036_57	2036	0.6766088154230705	2010.18	2010-03-06	2010	3
sample_2036_60	2036	0.7028059055525415	2010.18	2010-03-06	2010	3
sample_2036_61	2036	0.4751792270248354	2010.18	2010-03-06	2010	3
sample_2036_65	2036	0.6766088154230705	2010.18	2010-03-06	2010	3
sample_2036_70	2036	0.7028059055525415	2010.18	2010-03-06	2010	3
sample_2036_84	2036	0.6875751727108884	2010.18	2010-03-06	2010	3
sample_2036_91	2036	0.5898361950542649	2010.18	2010-03-06	2010	3
sample_2040_12	2040	0.6134609348342432	2010.2	2010-03-14	2010	3
sample_2040_27	2040	0.6036499268842106	2010.2	2010-03-14	2010	3
sample_2040_38	2040	0.7068745528631877	2010.2	2010-03-14	2010	3
sample_2040_61	2040	0.6738316135008899	2010.2	2010-03-14	2010	3
sample_2040_63	2040	0.6359619305949993	2010.2	2010-03-14	2010	3
sample_2040_7	2040	0.6564213816525776	2010.2	2010-03-14	2010	3
sample_2040_72	2040	0.7068745528631877	2010.2	2010-03-14	2010	3
sample_2044_1	2044	0.6145058759798807	2010.22	2010-03-21	2010	3
sample_2044_31	2044	0.6052855138749768	2010.22	2010-03-21	2010	3
sample_2044_35	2044	0.4927309429391942	2010.22	2010-03-21	2010	3
sample_2044_36	2044	0.6228069366450419	2010.22	2010-03-21	2010	3
sample_2044_58	2044	0.5955415625410507	2010.22	2010-03-21	2010	3
sample_2044_63	2044	0.6276524716835186	2010.22	2010-03-21	2010	3
sample_2044_68	2044	0.0740105607238194	2010.22	2010-03-21	2010	3
sample_2044_7	2044	0.7048875028481373	2010.22	2010-03-21	2010	3
sample_2044_70	2044	0.6462561755469503	2010.22	2010-03-21	2010	3
sample_2044_79	2044	0.5947022135021474	2010.22	2010-03-21	2010	3
sample_2044_81	2044	0.6750021081782672	2010.22	2010-03-21	2010	3
sample_2044_82	2044	0.553926460298327	2010.22	2010-03-21	2010	3
sample_2044_96	2044	0.7119706472321476	2010.22	2010-03-21	2010	3
sample_2048_27	2048	0.6888997496335024	2010.24	2010-03-28	2010	3
sample_2048_31	2048	0.6889228448345143	2010.24	2010-03-28	2010	3
sample_2048_37	2048	0.7101545942858926	2010.24	2010-03-28	2010	3
sample_2048_4	2048	0.6888997496335024	2010.24	2010-03-28	2010	3
sample_2048_45	2048	0.5008647012595715	2010.24	2010-03-28	2010	3
sample_2048_61	2048	0.6021856246862345	2010.24	2010-03-28	2010	3
sample_2048_62	2048	0.6510550293364428	2010.24	2010-03-28	2010	3
sample_2048_67	2048	0.5886028350247333	2010.24	2010-03-28	2010	3
sample_2048_68	2048	0.6176290452482055	2010.24	2010-03-28	2010	3
sample_2048_73	2048	0.6940553717454063	2010.24	2010-03-28	2010	3
sample_2048_82	2048	0.6749866143820283	2010.24	2010-03-28	2010	3
sample_2048_84	2048	0.6685700812462098	2010.24	2010-03-28	2010	3
sample_2048_9	2048	0.6107301019457968	2010.24	2010-03-28	2010	3
sample_2048_90	2048	0.6965526918597555	2010.24	2010-03-28	2010	3
sample_2048_91	2048	0.6955145615101626	2010.24	2010-03-28	2010	3
sample_2048_93	2048	0.6200097746701522	2010.24	2010-03-28	2010	3
sample_2048_94	2048	0.7074788605363179	2010.24	2010-03-28	2010	3
sample_2048_95	2048	0.4678443062840735	2010.24	2010-03-28	2010	3
sample_2052_10	2052	0.6176036651667419	2010.26	2010-04-04	2010	4
sample_2052_21	2052	0.7028554645067039	2010.26	2010-04-04	2010	4
